id,opponentname,opponentflag,opponentscore,algeriascore,date,coachname,event
65,Cameroun,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_134.png,2,0,2017-10-07 00:00:00,Lucas Alcaraz,FIFA World Cup Qualifying - CAF
66,Nigeria,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_71.png,0,3,2017-11-10 00:00:00,Rabah Madjer,FIFA World Cup Qualifying - CAF
67,Central African Republic,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_174.png,0,3,2017-11-14 00:00:00,Rabah Madjer,International Friendly
68,Tanzania,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_135.png,1,4,2018-03-22 00:00:00,Rabah Madjer,International Friendly
69,Iran,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_57.png,2,1,2018-03-27 00:00:00,Rabah Madjer,International Friendly
70,Saudi Arabia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_46.png,2,0,2018-05-09 00:00:00,Rabah Madjer,International Friendly
71,Cape Verde,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_169.png,3,2,2018-06-01 00:00:00,Rabah Madjer,International Friendly
72,Portugal,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_128.png,3,0,2018-06-07 00:00:00,Rabah Madjer,International Friendly
73,Gambia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_198.png,1,1,2018-09-08 00:00:00,Jamal Belmadi,Africa Cup of Nations Qualifying
74,Benin,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_170.png,0,2,2018-10-12 00:00:00,Jamal Belmadi,Africa Cup of Nations Qualifying
75,Benin,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_170.png,1,0,2018-10-16 00:00:00,Jamal Belmadi,Africa Cup of Nations Qualifying
76,Togo,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_184.png,1,4,2018-11-18 00:00:00,Jamal Belmadi,Africa Cup of Nations Qualifying
77,Qatar,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_74.png,0,1,2018-12-27 00:00:00,Jamal Belmadi,International Friendly
78,Gambia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_198.png,1,1,2019-03-22 00:00:00,Jamal Belmadi,Africa Cup of Nations Qualifying
79,Tunisia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_103.png,0,1,2019-03-26 00:00:00,Jamal Belmadi,International Friendly
80,Burundi,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_133.png,1,1,2019-06-11 00:00:00,Jamal Belmadi,International Friendly
81,Mali,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_159.png,2,3,2019-06-16 00:00:00,Jamal Belmadi,International Friendly
82,Kenya,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_91.png,0,2,2019-06-23 00:00:00,Jamal Belmadi,Africa Cup of Nations
83,Senegal,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_121.png,0,1,2019-06-27 00:00:00,Jamal Belmadi,Africa Cup of Nations
84,Tanzania,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_135.png,0,3,2019-07-01 00:00:00,Jamal Belmadi,Africa Cup of Nations
85,Guinea,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_225.png,0,3,2019-07-07 00:00:00,Jamal Belmadi,Africa Cup of Nations
86,Ivory Coast,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_132.png,1,1,2019-07-11 00:00:00,Jamal Belmadi,Africa Cup of Nations
87,Nigeria,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_71.png,1,2,2019-07-14 00:00:00,Jamal Belmadi,Africa Cup of Nations
