id,opponentname,opponentflag,opponentscore,algeriascore,date,coachname,event
118,Guinea,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_225.png,0,1,2022-09-23 00:00:00,Jamal Belmadi,International Friendly
119,Nigeria,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_71.png,1,2,2022-09-27 00:00:00,Jamal Belmadi,International Friendly
120,Mali,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_159.png,1,1,2022-11-16 00:00:00,Jamal Belmadi,International Friendly
121,Sweden,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_17.png,2,0,2022-11-19 00:00:00,Jamal Belmadi,International Friendly
122,Niger,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_141.png,1,2,2023-03-23 00:00:00,Jamal Belmadi,Africa Cup of Nations Qualifying
123,Niger,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_141.png,0,1,2023-03-27 00:00:00,Jamal Belmadi,Africa Cup of Nations Qualifying
124,Uganda,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_139.png,1,2,2023-06-18 00:00:00,Jamal Belmadi,Africa Cup of Nations Qualifying
125,Tunisia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_103.png,1,1,2023-06-20 00:00:00,Jamal Belmadi,International Friendly
126,Tanzania,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_135.png,0,0,2023-09-07 00:00:00,Jamal Belmadi,Africa Cup of Nations Qualifying
127,Senegal,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_121.png,0,1,2023-09-12 00:00:00,Jamal Belmadi,International Friendly
128,Cape Verde,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_169.png,1,5,2023-10-12 00:00:00,Jamal Belmadi,International Friendly
129,Egypt,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_33.png,1,1,2023-10-16 00:00:00,Jamal Belmadi,International Friendly
130,Somalia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_112.png,1,3,2023-11-16 00:00:00,Jamal Belmadi,FIFA World Cup Qualifying - CAF
131,Mozambique,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_130.png,0,2,2023-11-19 00:00:00,Jamal Belmadi,FIFA World Cup Qualifying - CAF
132,Togo,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_184.png,0,3,2024-01-05 00:00:00,Jamal Belmadi,International Friendly
133,Burundi,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_133.png,0,4,2024-01-09 00:00:00,Jamal Belmadi,International Friendly
134,Angola,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_157.png,1,1,2024-01-15 00:00:00,Jamal Belmadi,Africa Cup of Nations
135,Burkina Faso,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_166.png,2,2,2024-01-20 00:00:00,Jamal Belmadi,Africa Cup of Nations
136,Mauritania,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_207.png,1,0,2024-01-23 00:00:00,Jamal Belmadi,Africa Cup of Nations
137,Bolivia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_81.png,2,3,2024-03-22 00:00:00,Vladimir Petkovic,International Friendly
138,South Africa,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_137.png,3,3,2024-03-26 00:00:00,Vladimir Petkovic,International Friendly
139,Guinea,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_225.png,2,1,2024-06-06 00:00:00,Vladimir Petkovic,FIFA World Cup Qualifying - CAF
140,Uganda,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_139.png,1,2,2024-06-10 00:00:00,Vladimir Petkovic,FIFA World Cup Qualifying - CAF
141,Equatorial Guinea,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_186.png,0,2,2024-09-05 00:00:00,Vladimir Petkovic,Africa Cup of Nations Qualifying
142,Liberia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_197.png,0,3,2024-09-10 00:00:00,Vladimir Petkovic,Africa Cup of Nations Qualifying
143,Togo,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_184.png,1,5,2024-10-10 00:00:00,Vladimir Petkovic,Africa Cup of Nations Qualifying
144,Togo,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_184.png,0,1,2024-10-14 00:00:00,Vladimir Petkovic,Africa Cup of Nations Qualifying
145,Equatorial Guinea,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_186.png,0,0,2024-11-14 00:00:00,Vladimir Petkovic,Africa Cup of Nations Qualifying
146,Liberia,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_197.png,1,5,2024-11-17 00:00:00,Vladimir Petkovic,Africa Cup of Nations Qualifying
147,Botswana,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_191.png,1,3,2025-03-21 00:00:00,Vladimir Petkovic,FIFA World Cup Qualifying - CAF
148,Mozambique,https://gxdpkrwfrlqnxjiqxrnh.supabase.co/storage/v1/object/public/algvs/countries-flags/image_130.png,1,5,2025-03-25 00:00:00,Vladimir Petkovic,FIFA World Cup Qualifying - CAF
